 0 0 a2 t4 u0 a00 a01 a02 a03 a04 a05 a06 a07 a08 a09 a14 a15 a16 a17
/0/a00 0 30
/0/a01 0 31
/0/a02 0 32
/0/a03 0 33
/0/a04 0 34
/0/a05 0 35
/0/a06 0 36
/0/a07 0 37
/0/a08 0 38
/0/a09 0 39
/0/a14 0 40
/0/a15 0 41
/0/a16 0 42
/0/a17 0 43
/0/u0 0 21
/0/t4 0 20
/0/a2 0 1 b1
/1/b1 0 2 c2
/2/c2 0 3 d7
/3/d7 0 4 e1
/4/e1 0 5 f9
/5/f9 0 6 g4
/6/g4 0 7 h9
/7/h9 0 8 i7
/8/i7 0 9 j8
/9/j8 0 10 k2
/10/k2 0 11 l1
/11/l1 0 12 m7
/12/m7 0 13 n7
/13/n7 0 14 o2
/14/o2 0 15 p8
/15/p8 0 16 q3
/16/q3 0 17 r7
/17/r7 0 18 s9
/18/s9 0 19
